open_id,proposed_entity_name,decision_bucket,proposed_manual_classification,evidence_window,region,edss_core_activity,department_signature,kedi_match_evidence,safe_join_action,notes
2542345285,동아대학교 정책과학대학원,ready_to_record,confirmed_identity_closed_school_residual_id,2009-2010,부산 서구,0101 핵심 활동 전부 0,사회복지학전공|지방자치행정전공|행정학전공,KEDI 정책과학대학원 폐교 0행과 두 연도가 일치하며 행정·지방자치 학과서명이 언론홍보대학원 후보를 배제,retain_closed_graduate_school_open_id_separately_no_successor_auto_join,연도별 띄어쓰기 변형은 동일 기관으로 정규화
3386667668,삼척대학교방재기술전문대학원,ready_to_record,confirmed_identity_closed_name_change_predecessor_id,2009-2010,강원 삼척시,0101 핵심 활동 전부 0,광해·지반방재전공|도시·환경방재전공|방재설비전공|재해방재전공,KEDI 본교 폐교 0행이 두 연도 일치하고 강원대학교 공식 연혁이 삼척대학교 방재기술대학원→강원대학교 방재기술전문대학원 계보와 4개 전공을 확인,link_successor_history_keep_predecessor_open_id_separate,제2캠퍼스 OpenID 7737709581과 구분
3440395534,덕성여자대학교 정보통신대학원,ready_to_record,confirmed_identity_closed_school_residual_id,2009-2010,서울 종로구,0101 핵심 활동 전부 0,인터넷정보공학전공|정보통신전공,KEDI의 동일 지역 폐교 0행 세 후보 중 정보통신 학과서명이 덕성여대 정보통신대학원을 유일하게 지시,retain_closed_graduate_school_open_id_separately_no_successor_auto_join,
3681159734,영산대학교 TESOL 대학원,ready_to_record,confirmed_identity_department_residual_id,2009-2010,경남 양산시,0101 핵심 활동 전부 0,TESOL전공,KEDI 제2캠퍼스 TESOL 대학원 행이 신설→기존으로 두 연도 위치·캠퍼스·핵심값과 일치,retain_historical_open_id_separately_no_auto_join,후속 폐과 흔적 때문에 활성 기관 분석에서 제외
7344788491,공주대학교교육정보대학원,ready_to_record,confirmed_identity_closed_name_change_predecessor_id,2009-2010,충남 공주시,0101 핵심 활동 전부 0,교육공학전공|교육방송전공|교육정보관리전공|멀티미디어교육매체전공|영상매체전공,KEDI 동일 대학원 폐교 0행이 두 연도 일치하고 학과서명은 후속 교육정보·사회복지대학원 계보와 부합,retain_predecessor_open_id_separately_no_auto_join,
8878228843,안양대학교첨단산업기술대학원,ready_to_record,confirmed_identity_closed_school_residual_id,2009-2010,경기 안양시,0101 핵심 활동 전부 0,디지털국토·도시관리학과|부동산컨설팅학과,KEDI 동일 대학원 폐교 0행이 두 연도 일치하고 안양대학교 공식 연혁이 첨단산업기술대학원의 부동산컨설팅학과 설치를 확인,retain_closed_graduate_school_open_id_separately_no_successor_auto_join,
9468469321,홍익대학교 국제경영대학원,ready_to_record,confirmed_identity_closed_name_change_predecessor_id,2009-2010,서울 마포구,0101 핵심 활동 전부 0,경영정보학전공|경영학전공|국제경영학전공|국제통상학전공|품질·환경경영전공,KEDI 국제경영대학원 폐교 0행이 두 연도 일치하고 학과서명은 후속 경영대학원과 정확히 일치하며 공식 연혁·학칙이 종전 국제경영대학원을 확인,retain_predecessor_open_id_separately_no_auto_join,후속 경영대학원 OpenID 6283882558과 계보만 연결 가능
2299522757,한국국제대학교 관광대학원,ready_to_record,confirmed_identity_historical_reorganization_predecessor_id,2009,경남 진주시,0101 핵심 활동 전부 0,관광경영학과|호텔외식경영학,KEDI의 한국국제대학교 0행 세 후보 중 두 학과가 관광대학원을 직접 지시하고 후속 경영행정관광대학원에서 관광경영학과가 확인됨,retain_predecessor_open_id_separately_no_auto_join,
3571888148,국민대학교정보과학대학원,ready_to_record,confirmed_identity_closed_school_residual_id,2009,서울 성북구,0101 핵심 활동 전부 0,경영정보전공,KEDI 동일 대학원 폐교 0행이 단독으로 핵심값과 일치하고 경영정보전공이 정보과학 계열에 부합,retain_closed_graduate_school_open_id_separately_no_successor_auto_join,
4500553667,한국국제대학교 사회복지대학원,ready_to_record,confirmed_identity_historical_reorganization_predecessor_id,2009,경남 진주시,0101 핵심 활동 전부 0,사회복지학과,KEDI의 한국국제대학교 0행 세 후보 중 학과명이 사회복지대학원을 직접 지시하고 후속 보건복지대학원에서 같은 학과가 확인됨,retain_predecessor_open_id_separately_no_auto_join,
5181622326,숭실대학교산업기술정보대학원,ready_to_record,confirmed_identity_closed_school_residual_id,2009,서울 동작구,0101 핵심 활동 전부 0,뷰티산업학과|산업정보시스템공학과|전기공학과|전자및컴퓨터공학과|정보통신공학과,KEDI 동일 대학원 폐교 0행이 핵심값과 일치하고 5개 학과의 산업·정보기술 조합이 다른 동작구 0행 후보를 배제,retain_closed_graduate_school_open_id_separately_no_successor_auto_join,
7100761651,상명대학교 글로벌부동산대학원,ready_to_record,confirmed_identity_closed_school_residual_id,2009,서울 종로구,0101 핵심 활동 전부 0,부동산학과,KEDI 동일 지역 폐교 0행 네 후보 중 기관명과 학과명이 직접 일치,retain_closed_graduate_school_open_id_separately_no_successor_auto_join,
7737709581,강원대학교 방재기술전문대학원,ready_to_record,confirmed_identity_closed_school_residual_id,2009,강원 삼척시,0101 핵심 활동 전부 0,광해·지반방재전공|도시·환경방재전공|방재설비전공|재해방재전공,KEDI 제2캠퍼스 폐교 0행이 위치·캠퍼스·핵심값과 일치하고 공식 연혁의 동일 4개 전공이 확인됨,retain_closed_graduate_school_open_id_separately_no_successor_auto_join,본교 전신 OpenID 3386667668과 구분
7761588215,가천의과학대학교 임상약학대학원,ready_to_record,confirmed_identity_closed_name_change_predecessor_id,2012,인천 연수구,0101 핵심 활동 전부 0,임상약학전공,KEDI의 가천대·가천의과학대 0행이 겹치지만 동일 학과서명이 확인 OpenID 1723327934와 정확히 일치하고 공식 연혁이 2012년 통합을 확인,retain_duplicate_residual_open_id_separately_no_auto_join,가천대학교 임상약학대학원은 후속 명칭으로 계보만 연결
8624691426,한국국제대학교 경영행정대학원,ready_to_record,confirmed_identity_historical_reorganization_predecessor_id,2009,경남 진주시,0101 핵심 활동 전부 0,경영학과|경찰행정학과|행정학과,KEDI의 한국국제대학교 0행 세 후보 중 세 학과가 경영행정대학원을 직접 지시하고 후속 경영행정관광대학원에서 경영·행정학과가 확인됨,retain_predecessor_open_id_separately_no_auto_join,
9272958815,영산대학교정보통신대학원,ready_to_record,confirmed_identity_closed_school_residual_id,2009,경남 양산시,0101 핵심 활동 전부 0,컴퓨터정보전공,KEDI 동일 대학원 폐교 0행이 위치·본교·핵심값과 일치하고 컴퓨터정보전공이 정보통신대학원을 지시,retain_closed_graduate_school_open_id_separately_no_successor_auto_join,
